#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2019-03-06T19:44:33 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5c8022ba1b073	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-nav=cat:J/ApJ/773/53&tab:{J/ApJ/773/53/table1}&key:source=J/ApJ/773/53/table1&HTTPPRM:&&-ref=VIZ5c8022ba1b073&-out.max=unlimited&-out.form=HTML Table&-out.all=2&-order=I&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out.src=J/ApJ/773/53/table1&-out=SN&-out=Ns&-out=M&-out=Ep1&-out=Ep2&-out=Type&-out=Wst&-out=Bst&-out=z&-out=f_z&-out=T0&-out=Bmag&-out=Dm15&-out=E(B-V)&-out=B-V&-out=DBMag&-out=CSP&-out=Simbad&-out=NED&-out=_RA&-out=_DE&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=5&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=J/ApJ/773/53/table1
#-source=J/ApJ/773/53/table1
#-out=SN
#-out=Ns
#-out=M
#-out=Ep1
#-out=Ep2
#-out=Type
#-out=Wst
#-out=Bst
#-out=z
#-out=f_z
#-out=T0
#-out=Bmag
#-out=Dm15
#-out=E(B-V)
#-out=B-V
#-out=DBMag
#-out=CSP
#-out=Simbad
#-out=NED
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_17730053
#Name: J/ApJ/773/53
#Title: Type Ia SNe spectroscopy by the CSP (Folatelli+, 2013)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_ApJ_773_53_table1:
#Name: J/ApJ/773/53/table1
#Title: Summary of observations, classification, and photometric properties of the SN-Ia sample
#Column	SN	(A6)	SN name (YYYYaa) (1)	[ucd=meta.id;meta.main]
#Column	Ns	(I3)	Number of new spectroscopic observations [NULL integer written as an empty string]	[ucd=meta.number]
#Column	M	(A1)	Observations at B-light maximum (tables 3 and 6)	[ucd=meta.ref.url]
#Column	N	(I2)	[0/19]? Number of spectroscopic epochs [NULL integer written as an empty string]	[ucd=meta.number]
#Column	Ep1	(F5.1)	[-13/43]? Epoch minimum range (2)	[ucd=time.phase]
#Column	Ep2	(F6.1)	[-5/285]? Epoch maximum range (2)	[ucd=time.phase]
#Column	Type	(a8)	Spectral subtype based on SNID comparisons (Blondin & Tonry 2007ApJ...666.1024B)	[ucd=src.spType]
#Column	Wst	(A4)	Spectral subtype based on the scheme of Wang et al. (3)	[ucd=src.spType]
#Column	Bst	(A2)	Spectral subtype based on pW (4)	[ucd=src.spType]
#Column	z	(F8.5)	[0.004/0.09]? Heliocentric redshift from NED, except flagged	[ucd=src.redshift]
#Column	f_z	(A1)	[a] Redshift of host galaxy (5)	[ucd=meta.code]
#Column	zCMB	(F8.5)	[0.004/0.09]? redshift in the 3K CMB frame converted from z using the NED application	[ucd=src.redshift]
#Column	T0	(F7.1)	? Reduced Julian Date (JD-2400000) of B-band maximum light	[ucd=time.epoch]
#Column	Bmag	(F6.3)	[12.2/19]? Corrected apparent B-band peak magnitude (6)	[ucd=phot.mag;em.opt.B]
#Column	e_Bmag	(F6.3)	[0.005/0.2]? Bmag uncertainty	[ucd=stat.error;phot.mag;em.opt.B]
#Column	Dm15	(F6.3)	[0.7/2]? Observed decline rate, {Delta}m_15_(B)	[ucd=src.var.amplitude]
#Column	e_Dm15	(F6.3)	[0.005/0.3]? Dm15 uncertainty	[ucd=stat.error]
#Column	E(B-V)	(F6.3)	[0/0.4]? Galactic reddening from NED	[ucd=phot.color.excess]
#Column	B-V	(F6.3)	[-0.2/1.2]? Pseudo-color at maximum light	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	[0.008/0.2]? B-V uncertainty	[ucd=stat.error;phot.color;em.opt.B]
#Column	n_B-V	(A1)	[Y] Low host-galaxy reddening? (7)	[ucd=meta.note]
#Column	DBMag	(F5.2)	[-0.7/0.8]? B-band absolute peak magnitude residual ({Delta}M_B_) (8)	[ucd=phot.mag;arith.diff]
#Column	e_DBMag	(F5.2)	[0.06/0.6]? DBMag uncertainty	[ucd=stat.error;phot.mag]
#Column	CSP	(I3)	Display the Carnegie Supernova Project data for this SN (if any) [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
SN	Ns	M	N	Ep1	Ep2	Type	Wst	Bst	z	f_z	zCMB	T0	Bmag	e_Bmag	Dm15	e_Dm15	E(B-V)	B-V	e_B-V	n_B-V	DBMag	e_DBMag	CSP	Simbad	NED	_RA	_DE
2007sr	 19	 	14	 13.8	 133.9	Normal  	    	  	 0.00548	 	 0.00666	54448.0	12.706	 0.021	 0.919	 0.039	 0.047	 0.047	 0.030	 	     	     	  0	Simbad	NED	180.47000	-18.97269
2007ux	  4	M	 3	  2.3	  53.7	Normal  	N   	CL	 0.03091	 	 0.03202	54466.4	17.353	 0.044	 1.634	 0.103	 0.045	 0.181	 0.062	 	-0.12	 0.20	  0	Simbad	NED	152.33325	+14.99244
2008C 	  8	M	 5	  4.3	  54.4	Normal  	N   	SS	 0.01662	 	 0.01708	54466.3	15.287	 0.010	 1.113	 0.015	 0.084	 0.094	 0.013	 	-0.18	 0.13	  1	Simbad	NED	104.29804	+20.43714
2008R 	  8	M	 5	  2.2	  26.9	91bg    	91bg	CL	 0.01350	 	 0.01290	54494.3	15.224	 0.039	 1.823	 0.031	 0.072	 0.085	 0.044	 	-0.13	 0.21	  1	Simbad	NED	045.97375	-11.99428
2008ar	  9	M	 8	 -8.1	  47.2	Normal  	N   	CN	 0.02615	 	 0.02727	54534.2	16.259	 0.038	 0.884	 0.069	 0.038	 0.100	 0.054	 	-0.08	 0.18	  0	Simbad	NED	186.15800	+10.83817
2008bc	 11	M	 8	 -9.0	  36.3	Normal  	N   	CN	 0.01509	 	 0.01572	54548.7	14.624	 0.007	 0.823	 0.021	 0.263	-0.038	 0.015	 	-0.08	 0.15	  1	Simbad	NED	144.63012	-63.97378
2008bf	 11	M	10	 -8.5	  42.1	Normal  	N   	CN	 0.02403	 	 0.02510	54554.5	15.779	 0.022	 0.872	 0.040	 0.036	-0.066	 0.031	Y	 0.08	 0.13	  0	Simbad	NED	181.01208	+20.24517
2008bq	  4	M	 4	  0.6	  33.4	Normal  	N   	CN	 0.03400	 	 0.03446	54562.9	16.303	 0.006	 0.919	 0.012	 0.090	-0.027	 0.008	 	-0.24	 0.07	  1	Simbad	NED	100.26046	-38.03861
2008fp	 18	M	15	 -2.8	 156.1	Normal  	N   	CN	 0.00566	 	 0.00629	54729.7	13.829	 0.020	 0.838	 0.047	 0.196	 0.491	 0.028	 	     	     	  1	Simbad	NED	109.13583	-29.32547
2008gl	  5	M	 5	 -1.5	  54.6	Normal  	N   	BL	 0.03402	 	 0.03297	54768.2	16.845	 0.022	 1.289	 0.045	 0.028	 0.050	 0.031	Y	-0.09	 0.12	  0	Simbad	NED	020.22842	+04.80531
2008gp	  3	 	 3	 -5.7	  42.6	Normal  	    	  	 0.03341	 	 0.03285	54778.6	16.455	 0.031	 0.973	 0.113	 0.120	 0.033	 0.043	Y	-0.19	 0.16	  1	Simbad	NED	050.75304	+01.36189
2008hu	  4	M	 3	  3.9	  20.1	Normal  	HV  	BL	 0.04970	 	 0.05056	54806.6	17.868	 0.043	 1.487	 0.095	 0.107	 0.114	 0.061	Y	-0.34	 0.19	  0	Simbad	NED	122.31150	-18.65364
2008hv	 13	M	10	 -6.0	  71.0	Normal  	N   	CN	 0.01255	 	 0.01359	54816.8	14.672	 0.006	 1.253	 0.006	 0.032	 0.039	 0.009	Y	-0.24	 0.16	  1	Simbad	NED	136.89192	+03.39225
2008ia	 10	M	 8	 -2.0	  59.5	Normal  	N   	BL	 0.02171	 	 0.02233	54812.9	14.871	 0.007	 1.323	 0.012	 0.228	-0.169	 0.011	Y	-0.62	 0.10	  1	Simbad	NED	132.64646	-61.27794
2009D 	  8	M	 7	 -3.9	  76.9	Normal  	N   	CN	 0.02501	 	 0.02467	54840.7	15.789	 0.016	 0.845	 0.028	 0.053	 0.018	 0.023	Y	-0.08	 0.11	  0	Simbad	NED	058.59512	-19.18172
2009F 	  7	M	 7	 -5.0	  45.3	91bg    	91bg	CL	 0.01296	 	 0.01292	54841.8	16.929	 0.025	 1.966	 0.045	 0.104	 0.635	 0.036	Y	-0.04	 0.20	  1	Simbad	NED	074.84817	-11.13058
2009Y 	 16	M	13	 -5.5	  75.7	Normal  	HV  	BL	 0.00935	 	 0.01011	54876.4	14.042	 0.032	 0.883	 0.057	 0.102	 0.114	 0.045	 	     	     	  0	Simbad	NED	220.60229	-17.24619
2009aa	 12	M	11	 -7.8	  39.9	Normal  	N   	CN	 0.02731	 	 0.02850	54878.7	16.355	 0.023	 1.118	 0.045	 0.034	 0.030	 0.033	Y	-0.07	 0.13	  0	Simbad	NED	170.92617	-22.27069
2009ab	  5	M	 5	-10.2	   4.7	Normal  	N   	CN	 0.01117	 	 0.01087	54883.8	14.652	 0.046	 1.207	 0.092	 0.214	 0.065	 0.065	 	 0.19	 0.28	  0	Simbad	NED	064.15162	+02.76417
2009ad	  6	M	 6	 -8.3	  32.5	Normal  	N   	SS	 0.02840	 	 0.02834	54886.1	16.074	 0.096	 0.882	 0.174	 0.111	-0.006	 0.136	 	-0.07	 0.41	  0	Simbad	NED	075.88908	+06.65992
2009ag	  7	M	 6	 -3.5	  54.9	Normal  	N   	BL	 0.00864	 	 0.00925	54889.2	14.589	 0.041	 0.967	 0.076	 0.254	 0.241	 0.058	 	     	     	  0	Simbad	NED	107.92004	-26.68508
2005hj	  0	M	 0	     	      	91T     	91T 	SS	 0.05801	 	 0.05699	53675.2	17.753	 0.085	 0.827	 0.190	 0.039	 0.061	 0.086	 	-0.10	 0.30	  1	Simbad	NED	021.70167	-01.23811
